feature_set,top_n,cost_bps,fold_id,n_rebalances,gross_expectancy,net_expectancy,benchmark_expectancy,alpha_gross,alpha_net,mean_turnover,ic,hit_rate
baseline_price_only,10,15.0,17,21,0.004525658131060848,0.003331057327457547,0.0008605811477029214,0.0036650769833579274,0.0024704761797546258,0.7964005357355343,0.030061966168605278,0.5714285714285714
baseline_price_only,10,15.0,18,21,0.0030065200158765496,0.0018987529067995177,0.001961584923945794,0.0010449350919307541,-6.283201714627677e-05,0.7385114060513539,0.027929681591809034,0.5714285714285714
baseline_price_only,10,15.0,19,21,-0.0007800572734345531,-0.0017667047641907868,-0.0027430326738841163,0.0019629754004495637,0.0009763279096933286,0.6577649938374902,0.11681750379801456,0.5238095238095238
baseline_price_only,10,15.0,20,21,-0.0009963218872968646,-0.002041100903037105,-7.291388491234595e-05,-0.0009234080023845184,-0.001968187018124759,0.6965193438268267,-0.0067878370327014315,0.47619047619047616
baseline_price_only,10,15.0,21,21,0.005088956773512165,0.004045260280512032,0.0038659122700270606,0.0012230445034851053,0.00017934801048497125,0.6957976620000895,0.058769081464742405,0.6190476190476191
baseline_price_only,10,15.0,22,21,0.0004731550480206918,-0.0005834938199598099,-0.00034692225578738595,0.0008200773038080778,-0.00023657156417242322,0.704432578653667,0.02150214092618241,0.47619047619047616
baseline_price_only,10,15.0,23,21,0.004790216986492278,0.0037028201006641262,0.001121225839954078,0.0036689911465382008,0.002581594260710048,0.7249312572187686,0.08253992384171274,0.5714285714285714
baseline_price_only,10,15.0,24,21,0.001281570464606582,0.0001965394656450816,-0.00012366929220402654,0.0014052397568106083,0.00032020875784910844,0.7233539993076669,0.034413657785606906,0.47619047619047616
baseline_price_only,10,15.0,25,21,0.006436698434823854,0.005385567693031376,0.0002819488754181428,0.00615474955940571,0.005103618817613233,0.700753827861651,0.0640688377939891,0.6190476190476191
baseline_price_only,10,15.0,26,21,0.0031031326718312883,0.0020528688012978907,0.001983973172972048,0.0011191594988592402,6.889562832584303e-05,0.7001759136889317,0.03582951161712522,0.6190476190476191
baseline_price_only,10,15.0,27,21,-0.004970578374864115,-0.00591562710490683,-0.005226323188341125,0.0002557448134770099,-0.000689303916565706,0.6300324866951437,0.04394912311421738,0.5714285714285714
baseline_price_only,10,15.0,28,21,0.0100480669044389,0.008975056036972887,0.004091996640013393,0.005956070264425504,0.004883059396959495,0.7153405783106724,0.06583041186937603,0.7142857142857143
baseline_price_only,10,15.0,29,21,-2.446871848744881e-05,-0.0011252045612594492,-0.00018081318580988033,0.000156344467322431,-0.0009443913754495692,0.7338238951813335,-0.01043738707963499,0.5714285714285714
baseline_price_only,10,15.0,30,21,0.003104007533892867,0.0019886115443101438,-0.0005373417532337936,0.0036413492871266626,0.0025259532975439375,0.7435973263884826,0.051500777813445274,0.6190476190476191
baseline_price_only,10,15.0,31,21,-0.00026406807885784707,-0.001315224081981094,-0.002941191615559908,0.00267712353670206,0.0016259675335788127,0.7007706687488314,0.06661601186178663,0.42857142857142855
baseline_price_only,10,15.0,32,21,0.006420541802088124,0.005363780126450294,0.0038151597773347467,0.0026053820247533763,0.0015486203491155484,0.7045077837585518,0.05053974342321042,0.7142857142857143
baseline_price_only,10,15.0,33,21,0.0015593053648209412,0.0005232213863935456,0.0009624113452737141,0.000596894019547227,-0.00043918995888016845,0.6907226522849303,0.07822307092950224,0.5714285714285714
baseline_price_only,10,15.0,34,21,0.005585072217987282,0.0044204695037910096,0.0033288908137654237,0.002256181404221858,0.001091578690025587,0.7764018094641811,0.027935320875710087,0.7619047619047619
